,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
37251,636eaca482edf67e,"the ridiculous vandalism on this page 

people like that mark cock wont stop vandalising, just lock the damn talk page for more veteranary members so vandalisers like mark will conclude vandalising the page, thus making me happy. 142.162.203.192",0,0,1,0,0,0
38114,65c03befde8eb70c,"""The whole """"Santana Lopes' leadership was made difficult by..."""" paragraph is a mess. It's a clear apologetic approach of mr.Santana's performance as PM, non encyclopaedic and frankly it seems like the result of whiny supporters comming for the rescue of their beloved leader's page. What the hell are these non-encyclopaedic considerations about mr. Santana's politics and cunjuncture doing about in this page? Sure enough, they may be debatably true, but there's a lot more to the portuguese economic situation than just the apologetic """"the previous government had left the country’s economy in a poor state""""-WTF is THAT?!! Consider deleting the whole thing, I really don't think it's salvageable.
""",0,0,1,0,0,0
38416,6690c044371bc96f,"—   | Talk  I, who am coming in from the wild, I, who happen to be Reform and think this Sanhedrin is, pardon my French, bullshit, shall be the third, as I believe that honorable editing is a Wikimitzvah.",0,0,1,0,0,0
38579,66f274e5ce703e6b,Right on man I appreciate it. I don't really care if I am blocked. I got 6 neighbors with wifi. That guy is really being a dick though!! Humility man!! That's whats important!! I'll see you around! Cheers!! -,0,0,1,0,0,0
39436,693ca392ace22d06,"""==JOPPA==
Please don't block me from editing...please. Trust me, my life doesn't revolve around editing pages in wikipedia, like yours. I couldn't give a flying shit on Sunday.  Hope deleting people's articles makes you feel better inside. Just because you have yet to produce a quality page on this site, doesn't mean you should be jealous of others, and use that as the ONLY reason for getting rid of them. Do something with yourself for God's Sake. Can you honestly look at your life right now and say, """"I've made a difference."""" If not, then leave the rest of us alone. That's my advice to you. Don't be a fucking cynic. You end up very lonely that way. Maybe you should watch my show sometime to see what it's like trying to be creative. The address is Whatisjoppa.com  

""",0,0,1,0,0,0
41373,6e567b6edfa41c60,"The Normans have long since come and gone, it is you who are living in the past. Interesting that you should call me a motherfucker - that's not really a word used in England very much. Are you American by any chance? That would certainly explain a lot. And in another place you called yourself a Breton, is that not so? Why don't you make up your mind? I have no idea, and don't give a shit, about your own ethnic insecurities - Wikipedia is not the place to display them.",0,0,1,0,0,0
41442,6e891c2ee909bb7f,"Actually, a band is and it. The comprising memebers are a they. It's quite simple. American English isn't the fucked-up version. A group is, after all, a singular object. That said, 156 is correct  it is general practice on Wikipedia to go by the grammar of each band's nationality.",0,0,1,0,0,0
42047,702b11c225f30bea,She also has my name on her butt!!,0,0,1,0,0,0
42227,70abff50e4cdf57b,"""

 Funny usage? 

There used to be a very amusing and funny example of the usage of the word """"fuck"""" in place of almost every part of speach in a sentence. Where did it go? I do not exactly remember it but I think it should be brought back.  """,0,0,1,0,0,0
42596,71b1f34bd9ec3cd2,"""

 Please do not vandalize pages, as you did with this edit to Talk:Shit. If you continue to do so, you will be blocked from editing.    """,0,0,1,0,0,0
42766,721af8ca0a8e042e,"I'm sorry I was an asshole about it.  The point is that the vowels in man and noun are raised in AusE according to Felicity Cox (2005), and the phonetic transcription for that IDEA example I gave you transcribes man as , and indeed it sounds like that to my ears, although that speaker did seem a bit broad.  It's not that uncommon for vowels to be raised before nasals.  Take for example the pin-pen merger in Southern American English and in southwestern Ireland or the non-phonemic æ-tensing that takes place in accents that have undergone the Northern cities vowel shift.  The only reason I brought this up is because I imagine it is very noticeable to English ears (it's even noticeable to my American ears).  Many English people might pronounce man as , which sounds quite a bit different from .  You're the Aussie here, so I'm sure you can verify this by simply contrasting your man with your bad (in this case both would have a long vowel, so try to listen for the quality of the vowels) or your noun with your loud.  This is just another little thing that distinguishes Aussie English from English English; that's all.",0,0,1,0,0,0
43141,731a189c3f657271,"Remember when the first nudes came out of Vanessa Hudgens?  She said her stuff was hacked, yet everybody called BS.  Same with Mily and Johansson.  But it turns out they weren't lying after all.  i also find it very interesting to see how the US Attny has apportioned the restitution.  $76K for Olstad and all her dildo shots.  $66K for Johansson and, what, one boob and an ass pic?  And $2.5K for Christina and about 5 or 6 vag shots.  Why is one Johansson boob worth $66K and all of Christina's vag shots only worth $2.5K?  I can see why Olsteads pics are worth so much.  She is smoking hot.  But one boob is hardly worth $66K.  Anyways, it will be interesting to see how it all plays out.  This kind of shit happens everyday to regular people, ex-boyfriends / girlfriends, but you don't see a year long FBI investigation out of it.",0,0,1,0,0,0
43544,7439dd70a0f8cb9b,"Bishonen
If not there, then where? NO admin cat seems to qualify. It's OK for him to cast aspersions on my front page (I appreciate technically it is Wikipedia's not mine)? It would do no good if I just blanked his and wrote crap on his. So where, then?

S",0,0,1,0,0,0
44337,766621428fd4ffe8,"""

 Tarantino 

Alright, I admit it...so I see a similarity that simplifies the entire explanation of his style by a good deal. So sue me [*shrug*]. Hell, I just thought it was easier to get this guy with Runyon in mind, y'know? Ah, well, if you decide to delete it because it wasn't some stuffed shirt in a stuffed chair on a TV show who thunk it first, I can't do anything. I've grown to be familiar with that happening, as my user talk record shows.

 

P.S.You said """"we meet again."""" I don't remember where, and so I don't know if you were one of the """"cute-but-no"""" editors or the """"you-are-fucking-crazy-get-out-before-we-send-you-a-whole-jarful-of-cookies [not the edible kind, except in small bytes ;-)]"""" editors. Please tell me, to satisfy my morbid curiousity...

Also, I need to do something for the next seventeen years of my solitary confinement...

 """,0,0,1,0,0,0
44598,772c2ee5060bdec0,"P.S., I am halfway through a sex change.  Maybe when I finally get my dick cut off I'll be a bit more relaxed.  I already have the tits, but the estogen is driving me nuts!",0,0,1,0,0,0
44821,77bef5e08832b255,"""
Probably could strike the """"You sir are a callous asshole (and I stand by that term) and nothing you do will make me believe otherwise."""" part of that statement.  The rest, while heated, I think is OK....unless anyone else doesn't and I can strike some more off it. -  • Talk • """,0,0,1,0,0,0
45242,78f69c27fd56815b,"A little clique controls the Technocracy articles to very very bad effect==
The same group of scum bag tandem editors that have controlled and now want to misrepresent any and all articles connected with Technocracy issues ... even to the point of trying to delete the article now.
http://en.wikipedia.org/wiki/User_talk:Johnfos#The_Signpost:_17_October_2011
http://en.wikipedia.org/wiki/User_talk:Epipelagic
http://en.wikipedia.org/wiki/User_talk:Beagel
http://en.wikipedia.org/wiki/User_talk:Lawrencekhoo

Mostly they collude to give bad information.
TAB
The same group of tandem editors from several years ago still try and control this article. They want to eliminate an article about one of the major social movements ... the group that started it. 
Wikipedia is known for special interest control and buddy editing. Its a pity and the reason a serious article on an important American group is being tried to be done away with by tandem editors that obviously object for some reason to the content. The past clearly shows the same team of tandem editors here.
Beagle and Johnphos are tandem editors as is Lawrencekhoo and Epipelagic... One of the most significant groups in American history and they want to get rid of the article. Its pathetic and shows the weakness of en. Wikipedia. Lawrencekhoo is a mainstream economist who ax grinds economic articles Google his name for his economic 'beliefs' Gino And fifle fool... it does not have a fucking thing to do with communism you dumb ass. Thanks

==",0,0,1,0,0,0
45718,7a35d58404e826e1,"Okay okay I see. There's a protocol. 

Oh, okay. I see how this whole things works now.

I follow ya.
  

In all my ignorant raging I completely overlooked the fact that I did not upload any of my information to the web.

HOLY CRAP I AM AN IDIOT.

But I'm an American too, so its expected to miss something.

And I'm human, so I'm expected to screw up.

Sorry m8, this whole thing could have been avoided had I taken proper introspect and gauged the situation more thoroughly

All of the 'sources' are active (just not uploaded) My apologies Holmes.

  

I thought you were just being vindictive. With the coveting of a LEviathan article which really annoys.

Everyone here though should take notice of these past four thousands edits on whatever pages I posted whatever.

Especially with this poor sods day, sorry for the headache holmes.",0,0,1,0,0,0
46588,7c7f10f967976ef6,"""

Blocking me
I dont understand you're motivation for blocking me. You say I made personal attacks and the link I followed was the Qiyamah talk page..I presume you mean my comment that Universaliss was vandalizing it. Im not sure if you were confused or simply refrained from viewing his last two edits. His last two edits were what motivated me to my accusation. He replaced the page with utter nonsense. After you blocked me you didnt even rv his vandalism! I assume your decision to block me was an accident...but it does seem suspect...especially considering your recent and persistent need to engage me in convos which really dont concern you (Woohookity and that vfd consensus). I read your comment at southerncomfort's talkpage and I think you should know that I have not mislead her as i have never talked to this user. You said you blocked universaliss for a week...do you mean you blocked him/her yesterday and this will last for a week? No matter. I simply want that user to stop 1. reverting to old-outdated versions of the page which contain grammatical and technical inaccuracies, 2. stop the personal attacks, and religious attacks (towards Protestants, Jews, and Ahmadis), 3.and stop deleting information that he/she disagrees with. I really dont think this is asking that much. In terms of diffusing the situation...I tried to add in a passage that all parties could agree to. His response was too massively delete info in various sections and add in comments like """"you fucking troll"""".  03:26, August 1, 2005 (UTC)""",0,0,1,0,0,0
47796,7fb464aae34f2d28,"""
And not arguing semantics is the last defence of someone who knows they are wrong or won't admit they are wrong. If I understand AGK correctly, he believes I was attempting to be malicious. He assumed I was saying something that I wasn't trying to. Instead of saying """"it was not constructive"""" (which is untrue and not blockable) he backed his block by implying that I meant something I did not. There are no semantics about it. AGK simply does not believe me when I say it was simple wordplay. So how about you go tell everyone in that section that it was not collaborative? It obviously was since they responded. AGK is the one who had a knee-jerk reaction to it. All that was needed was """"Dude, 'cancer' can be taken the wrong way. Strike it or get blocked."""" Instedd he waited until HOURS after I had edited to make a 24 hour block. So don;t argue semantics with me: Jusitify your poor reaction. Not punitive my ass.  01:30""",0,0,1,0,0,0
48907,82c19572d9e7be19,"Please see a picture of my balls. 

I am uninterested in your little internet power games.  You can eat a dick.  You are way late, seeing as that other dick already both berated me rudely and erased my article about my friend.  You are just pretending like your life has some meaning.",0,0,1,0,0,0
48928,82cf42b73acbcfbf,"Apparently I wasn't clear enough the first time
Well it has been a while sine I your pompous flame diety has been here. However it has come to my attention that you are not living up to our standards. In otherwords fucker you are out. You live in Paterson, New Jersey and use Verizon Internet Services Inc. 

WE ARE LEGION

WE DO NOT FORGIVE

WE DO NOT FORGET

EXPECT US 

  

Apparently I wasn't clear enough the first time
Well it has been a while sine I your pompous flame diety has been here. However it has come to my attention that you are not living up to our standards. In otherwords fucker you are out. You live in Paterson, New Jersey and use Verizon Internet Services Inc. 

WE ARE LEGION

WE DO NOT FORGIVE

WE DO NOT FORGET

EXPECT US 

  

Apparently I wasn't clear enough the first time
Well it has been a while sine I your pompous flame diety has been here. However it has come to my attention that you are not living up to our standards. In otherwords fucker you are out. You live in Paterson, New Jersey and use Verizon Internet Services Inc. 

WE ARE LEGION

WE DO NOT FORGIVE

WE DO NOT FORGET

EXPECT US 

  

Apparently I wasn't clear enough the first time
Well it has been a while sine I your pompous flame diety has been here. However it has come to my attention that you are not living up to our standards. In otherwords fucker you are out. You live in Paterson, New Jersey and use Verizon Internet Services Inc. 

WE ARE LEGION

WE DO NOT FORGIVE

WE DO NOT FORGET

EXPECT US 

  

Apparently I wasn't clear enough the first time
Well it has been a while sine I your pompous flame diety has been here. However it has come to my attention that you are not living up to our standards. In otherwords fucker you are out. You live in Paterson, New Jersey and use Verizon Internet Services Inc. 

WE ARE LEGION

WE DO NOT FORGIVE

WE DO NOT FORGET

EXPECT US",0,0,1,0,0,0
48969,82e9c4c44ec8fd6c,wtf you temp block me for?,0,0,1,0,0,0
49171,8374a0ff8c830854,"""

At the risk of stating the obvious - They're a British group, centered in Britain, comprised mostly of Brits, working for a terriably British institution and the story of the group takes place largely in Britain. Couple with this the fact that a lot of the people contributing are British, and I think you have yer answer. We could americanise it by throwing in a few cowboys and a car chase. And they can all keep calling each other """"Assholes"""". We'd have to remove any aspect of comedy from the article though. I think we could swing it though. What do you think? """,0,0,1,0,0,0
49405,841c1acb11e1e482,"""

Again, I never asserted the Greaseman's death.

Since Neturalhomer chooses to edit his User Talk page to erase the past, I will post the relevant exchange here (he gave """"removing vandalism"""" as the reason for editing it out; his only tool is a hammer, perhaps, so he sees me as a nail, perhaps)

Your Lie(s) About Me

You wrote: """"Final Warning

Saying things like """"DC101 IS HIS FUCKING EMPLOYER!!!"""" and """"Don't be a douche"""" is a good way to get blocked....fast. Tone the language down...and pay attention. Greaseman ain't dead. If you continue, to add continued, now, lies to Wikipedia, I will report you to AIV and to your ISP, Verizon. Stop now, this is your final warning. - NeutralHomer • Talk """"

Yes, I did use the language (on a talk page) and if it will make the booboo feel better, I apologize. But who doesn't enjoy a nice summer's eve?

BUT, you need to STOP LYING about me. I never said the Greaseman was dead, only that his death had been reported by sources considered reliable by Wikipedia standards. A little attention to detail on your part would be much appreciated, Eve. Otherwise, perhaps it is I who shall report you. Tell you what: you admit and retract your lie and I will consider the matter closed. Fair?

Let's look at your odd writing style: """"If you continue, to add continued, now, lies to Wikipedia,"""" Just what are you going for there?

I've never put a lie on Wikipedia, contrary to your assertion. Anyone who lies about me can go screw.

Your threat to report me to my ISP (FOR WHAT, EVE?) is beyond pathetic. Two pops for yes!! Report away.

Now, the admin who blocked me said that more than one reliable source was needed on sensitive matters.  He did not research sufficiently to reach a correct conclusion.

Let's all remember, shall we, that I never said that Greaseman was dead, simply that he was REPORTED DEAD.  There's a big difference, and the fact that it was reported is not in dispute.  I NEVER SAID GREASEMAN WAS DEAD.  Yet Neutralhomer continues to assert that I did.  THAT IS A LIE.  I consider someone lying about me a personal attack, under Wikipedia guidelines.  Is this a """"separate but equal"""" or """"separate and unequal"""" system?

The admin who blocked me wants more than one source that someone said something on the radio.  Let's look at Wikipedia's entry on Cesar Romero's personal life, shall we?  There is NO source cited for his death, nor his homosexuality, yet those are all sensitive topics, are they not?  Why doesn't Neutralhomer report the author of this page for vandalism?

The fact that Neutralhomer claims that dealing with me gave him a migraine on the talk page of the admin who blocked me demonstrates that this is a personally based effort on his part.

To recap: I never lied.  I never vandalized.  That should be enough.

Now let's look at Wikipedia's reckless report of Cesar Romero's death and homosexuality, shall we?  Sensitive matters, no?

Personal life

Romero believed in liberation theology. Romero was very Christian yet still believed in a utopian society whose belief is that Christ's kingdom would be very similar to Marx's envisionment of communism, and held to this belief until his death.[1][2]

Romero always claimed his grandfather on his mother's side was Cuban poet and patriot José Martí, although his mother's parents were legally Carmen and Manuel Mantilla with José Martí as his godfather. There was some speculation that Maria was fathered by Martí who was a boarder in the Mantilla household, but he never claimed Maria as his daughter in his lifetime.

Romero was never married, despite proposing to at least one woman. Romero made regular appearances on the Hollywood social circuit, usually in the company of an attractive actress, and he was almost always described in interviews and articles as a """"confirmed bachelor."""" Romero discussed his homosexuality in a series of interviews with author Boze Hadleigh, with the understanding that they would not be published during his lifetime.

Romero wore a man's tennis bracelet inscribed with his favorite nickname: """"Butch."""" The term was reportedly bestowed on Romero by his one-time dancing partner Joan Crawford, who teased Romero by telling him: """"You're so butch!"""" While Romero's homosexuality was an """"open secret"""" in Hollywood, the movie-going public was unaware of his sexual proclivities and there was never any embarrassing scandal surrounding his male liaisons, which shows the care and finesse with which he conducted his private life for more than 60 years.

Romero was a mainstay of the Hollywood social circuit until his death in 1994. He was interred at Inglewood",0,0,1,0,0,0
49459,843f3ab8411849c8,"""::: A book search for """"get you gone you dwarf"""" (Shakespeare's equivalent of """"fuck off, you drama-whore"""") reveals quite a few hits discussing them in depth, so I dare say something like List of Shakespearean insults does have potential.  (talk) (cont) 

""",0,0,1,0,0,0
49793,852612fd4e989abf,"As for [http://en.wikipedia.org/w/index.php?title=Becky_Gable&diff;=109346338&oldid;=109305029 this} I also just asked if he's stupid. Why? Because he keeps reverting my corrections to MY OWN MISTAKES. Tell me, how stupid is this? Rate 1-10.",0,0,1,0,0,0
50826,87e3ca1190743caa,"Find a format that works for the refernces, as [1]. [2], [3] in the middle of sentences looks fucking awfull. Use the Notes section until a better format is found for reference markers.",0,0,1,0,0,0
50851,87f63171fe2dd6ca,"""

 Another possible sock of  

There may be another sock of AFI-PUNK, and he's using a user account called . He is continually reverting my edits and restoring capitalized genres separated by line breaks (on album pages) as well as capitalizing personnel roles (""""Lead Vocals"""", """"Bass Guitar"""") when they should not be capitalized. He has continued to undo my edits after being warned by both me and another editor, saying """"THIS IS FUCKING GAY"""" in one of his reverts. I suggest a checkuser on this person. meh! """,0,0,1,0,0,0
51318,894e7a7ede74fa37,"Road Good aRticles are a pain in the ass. I've asked some one involved with the project what needs to be done with the article to take it to GA.  The history needs to be there, especially the early history which is missing.  It also needs more information on the road features, such as intersections, road width, road markings, etc. The few sources I've looked at haven't included this, and the roads people tend to use Google Maps as a source for the major intersections part.",0,0,1,0,0,0
51740,8a7217e9d04c50c5,"""

EDIT: Damn, I just lost everything I typed. Basically, 1: Not trying to promote Westside 2: Westside is not my comic. """"When he asked me to create a site about it (he's not great with these things) I of course immediately thought """"What better than Wikipedia?""""""""
3: Wikipedia is too much of a hassle, so I'll make a MySpace or something. Westside will never be good enough, I guess...""",0,0,1,0,0,0
51927,8b003bf8da83a34d,"Response

I stand by that edit. It's rude as all hell to slap very ugly templates all over an article and not even contact the author when you don't actually dispute anything in that article. I stand by everything I wrote in that article, and will happily provide sources for anything that is disputed, but I'm not going to waste my time because someone wants to be a prick.",0,0,1,0,0,0
52271,8be3050edb23f480,"Re:Mere Rubbish ==
I also think it is mere rubbish but I also think it is not completely rubbish. According to the southeast asian history, most of the ancient rulers of this region are Hindus, some rulers came from Persia (map covered Middle east, Greece, west India - Achaemenid Empire, Seleucid Empire, Parthian Empire and Sassanid Dynasty, please look at the size of the map their conquered). Kedah is a good example where the king from Persia came and eventually he built a kingdom.

In the old days, it was slavery society (no sultanate and no democracy yet), all Hindu rulers belong to higher class, common peoples and the natives belong to inferior slave class. The Hindus rulers came from India and Persia and they ruled most of the southeast asia, they called themselves high class peoples, the rest are merely slaves. Parameswara is a Hindu ruler, he is one of the descendants of the Hindu royal family that belong to higher class of Hinduism.

As for the Macedonian bloodline, this is also not completely rubbish. In the old days, the Persian empire was so big, they are so proud with king Alexander the Great. Also, they ruled some of the southeast asian lands such as the Angkor, Pasai, etc. Parameswara later married Pasai's princess and adopted Persian Shah and claimed as descendant of Alexander the Great, I don't think all this is completely rubbish.

Anyway, please correct me, I may be wrong too.  

==",0,0,1,0,0,0
52529,8c8134aef00010e6,DONT  DELETE MY POOP BRO BACK THE F UP,0,0,1,0,0,0
54243,90eed7b4b1612eae,""":congratulations, you just found something that is going on in hiphop since almost 20 years. fags? bitches? oh come on. the point is, if you use that vocabulary mentioned you dont necessarily state your view on homosexuals or women; its common used cussing, whether you like it or not. saying he is homophobic or sexist is pov and factually wrong unless you provide any interview saying him anything negative about gays, lesbians or women. in 1993, on the Home Invasion album, in the song """"99 Problems"""" (the track Jay Z bited), Ice T rapped """"(i got) a bitch who's a man because theyre bitches too"""". got it?   

""",0,0,1,0,0,0
54655,92140a8a8c065504,"""

""""Give 'em hell, Give 'em Hell, Aggies Fuck Sheep"""" has been a staple in the Texas fight lyrics the game before and during the Aggie game in the student section for as long as I have been going to the University, and as long as my brothers have been going to the University, which dates back to at least 1998, and I doubt it started then either. I have also attended every home game and OU game since 2002, and always around sections 20-24.""",0,0,1,0,0,0
55050,931c1f1bdeb66ad8,"You got what had been coming to you. I hope that being a k3wL eleet nerd-o-pedia moderator has made your life hell.

- From someone that you totally wronged with your bullshit and managed to get me to stop contributing very significant contributions to this site nearly a year ago now. (And I contributed a LOT in a short time and would have contributed SO much more had I continued. Things that I did: huge amounts of professional class photography given away for free (placed PD) on subjects (often providing the only pics, to this day, on the subjects in question), hundreds of pages formatted according to standards, huge amounts of latest subject matter information added and facts corrected (in some cases so new that this was the first place on the net to have it) etc. etc.) - and instead of helping me and being civil, sensible and using common sense YOU were more interested in defending a non-contributing user who (for no apparent reason) started a campaign of open violent threats, death threats, spamming and vandalism on me. You were having too much fun abusing your moderator privileges by placing temporary blocks on me, trying to stop me from making my point and trying to give this hugely offensive other user a chance to avoid a police investigation, by mod-vandalizing discussions on the subject etc. - against most other moderators (private) views even - they had the sense not to start a mod war on the subject. Your 500 page nerd-o-pedia rule-book and abusing it to the point of idiocy was more interesting to you. Apparently you felt that since you had read it, everyone else should waste at least as much time and read it too down to every last letter, or you were gonna use it against all common sense toward anyone who didn't - with no regard for the actual situation and reasons behind it, no regard for that individuals contributions, no regard for civility - and most of all, with no common sense applied whatsoever.

It's indeed too bad that most pages on nerd-o-pedia are starting to be shockingy un-maintained and obsolete, indeed dead now that the initial rush of contributors is over after a few years, and the fun is over for most people - as, the most brutal blow of all, moderators such as YOU have managed to destroy the morale of even the most serious contributors and have had them leave. They simply did not wish to spend too much time arguing or alternatively face putting up with arrogant admin behavior, because it always will start to take more of your time than contributions here, because of people like YOU, and how wrong the principles are how admins are selected here. It's all about brown-nosing with the crowd and building your giant online virtual ego and lick the ass of other even more OCD nerds who are already admins, and you're just a wannabe. 

Good ****ing luck trying to get anything edited or updated here in a year or two besides top 10 whatever pop bands may be popular at the time, the latest tv show pages and some other obsessive-compulsive nerdishm. Nobody is foolish enough to put up with the crap that comes along with the job, from people such as YOU.

For example, the pages on my subjects were very active till late 2006, and since that they have... well. Remained in the same form as the core contributors left them, as they left this site. No updates. I'm truly not the only one to eject. Not worth the effort to contribute when all you get is shitted all over, if you ever need any help.

It's kind of funny that an admin can burn out of this site too, but given your attitude back then, I'm not surprised you did. After all, there were some decent admins here back then (such as  ), and I'm sure there's a few now, but WAY too many nerds for whom it is the biggest thing of their lives, and they have to show it, and snoop their noses everywhere. But like I said, as even admins are dropping out, what do you think happened to the contributors? Many pages now are actually full of incorrect shit, because no people of expertise hang around any more to correct details, and newbies or worse, malicious trollers slowly degrade the content that once was at least somehow accurate and relevant. Admins will be happy to see updates to the page, but the fact is, most of the updates today are degenerating the pages, obfuscating subjects and adding factual errors and garbage.

And too bad you didn't quit a year ago, I might still be here, and there would probably be several thousands of lines, and few hundred articles more, along with maybe ~1000 more photographs.
Good riddance!!",0,0,1,0,0,0
55164,935c8baf5bba1b08,"'What makes you think I give a fuck about your political leanings?' - er, you questioned them by saying 'this user seems to be on a campaign trial on behalf of UKIP'
Why is it non-notable trivia? Why did the media cover it then? 
Why is it a 'drive-by' to add sourced material to the article? Is this article yours? 
How does it having nothing to do with Brady when he himself made the comments?
Why couldn't you just be decent about it? Why all the swearing and accusations?",0,0,1,0,0,0
55895,9558e686512b8b2b,"""==Ass Ripper Express==
I read in the newspaper about a number of young girls being anally raped in toilets of these trains. All the rapes occured on the Pendolino trains and no other WCML service, this led to speculation that the trains were somehow """"rapist friendly"""". I think that this should be incorporated into the article. 217.72.91.120   

""",0,0,1,0,0,0
56129,95fa4293e5aa124a,"""

proposal that nobody at an/i seems to be getting
To stop all this shit from going out of hand, here's what to do:
 protect this article again
 interaction ban on Sports and Politics and Andromedean  
if either violates interaction ban then block for 14 days.
.
Andromedean is not faultless in this, but Sports and Politics and her """"It's not my fault it's your fault"""" attitude isn't helping anyone, so s&P;, please except that you have a portion of the blame, and stop denying your faults. you've done wrong and andromedean hasn't helped much by reacting for as long as he did, but s&P;, you're the catalyst, so stop the war, stop the drama, and someone please put at least a 3 month protection on this article and interaction ban on both users before i start sending Arceus after people. 199.101.61.190  """,0,0,1,0,0,0
56856,97f879a9ab4a1e56,"lack of New York Post report in the artical 

There should be someting in the artical about Mark Lavin exposing Olbermann about his alegedly being a pervert with a small penis.  audio here Artical Here",0,0,1,0,0,0
57059,9889b1c443645530,"""Incidents such as this are often referred to as """"Silviaesque Shitscapades"""" on MMA Radio shows such as Fightlinker's """"Low Blow: Mailbag"""".  Keep on shittin' Big Tim.

""",0,0,1,0,0,0
57635,9a340cbabd7322aa,"Trying to convince people to stay the hell away from this city... That's what I'm attempting to do here.  And I certainly don't appreciate how you bots THINK your shit doesn't stink and let your egos run wild just because your free to edit ANYTHING you want... And all this BS has been coming from people who know NOTHING about this area unless they've lived here and seen it for themselves...  And I can play this game of cat and mouse as long as your are willing to... Go ahead and ban me.  I'll just use another computer at my workplace or the local cafe even!!!  

Cheers!",0,0,1,0,0,0
57874,9aef3f4fdd4de196,"Thanks to ass Paris, France to the place where Banana Republic is located.",0,0,1,0,0,0
59530,9f731e0873647e5d,"Quoting Uncle Joey 

A: There's always a 'chance'. Don't quote me on this, but it would be difficult to try and re-negotiate with the producers, actors and the studio. So I feel strongly that it would never happen.

Way to quote him there, faggots. What do you think don't quote me means?",0,0,1,0,0,0
59671,9fbe642af3cdd3d2,"""This would be the same User:Bishonen who asked me for my email address, something I do not give out on Weikipedia, to tell me I was a drunkard. When I replied, look back in the edit summary (but not on the text) he said """"don't abuse my emaill address also"""". That would be when I replied to his email telling me I was a drunkard to tell he or she not to do so again. Who is the fool? I have no intention of replying to this fuckwit again. I have an intention to get him banned from making abusive comments to good faith editors. And I will pursue that.

Bishonen is""",0,0,1,0,0,0
60232,a133988620d72354,"""

Related projects is made for stuff that is somewhat more related then just having 4chan's name in it. The lolikon boards on not4chan was on 4chan but then changed to not4chan. (see the article) And world4ch is managed by 4chan staff. Anyways plus4chan has nothing to do with 4chan except that they actually archive some stuff, and the mods have stickied it for a while. If we would add all """"Related"""" projects which are not run by Team 4chan the article would look shitty.  """,0,0,1,0,0,0
60776,a2ae72dce45c1d4b,and a puss at the same time,0,0,1,0,0,0
60777,a2aea42ebd367024,"Oh, bugger! I loved my 16+ sockies! I wish I had 25+!",0,0,1,0,0,0
61112,a39e33fea8b3f7cb,"""
Um, there isn't a strong consensus against it?  The only person reverting is doing so in bad faith, as can be seen by his edit summary of """"suck my dick"""".  There's no need for this to be reviewed, just need to wait until vandals leave the article alone so I can work on it. 68.228.105.90  """,0,0,1,0,0,0
61479,a48bb107dfd18b2b,"""Isn't tart a kind of whore or concubine or courtesane? E.g. """"she's a politician's tart""""""",0,0,1,0,0,0
61889,a5a04e42e08b25f4,""" 

Apostle12, much agreement about the pointless of """"Fuck the Police"""" as a rallying cry.  
In posting here, just remember we here are not Occupy Oakland, we're not affiliated with them, we're not necessarily supporters of them.  We're Wikipedia an independent media agency.   We're trying to document, we're not trying to support. 
Criticisms for the OccupyOakland should be sent to them by email or social media.    We're not them, and I don't think they check this page. )    """,0,0,1,0,0,0
62594,a77b25731e94689b,"wooha 

reading your featured great article makes me laugh a lot 
you have so much wrong and you have so misunderstood its just funny 
one day im going to punch that jim wales cunt.
and if i find your name out youre on the list too.....

wrong wrong wrong wrong wrong wrong wrong.",0,0,1,0,0,0
63409,a9a6e0f756dc5435,"Hey everybody, FYI, don't bother posting on Scalzi's website. He deletes posts critical of himself, and he'll do it over and over. That guy he describes on his bio is pretty much the opposite of him: he hates confrontation except on his own terms, and can't handle criticism. In fact he will go to great lengths to hide it from others, all that crap about liking to argue is pretty ridiculous. The only thing that's true about that page is probably that he does indeed taunt people, however he seems to have a problem handling the type of shit he dishes out. So stick to his page here, where at least the facts aren't relative to Scalzi's ego.",0,0,1,0,0,0
63985,ab3c761d8addd7dd,"""

Well, I was offline so I missed the fireworks...but your award is most appreciated. I can't see a lot of reason to stick around here much anymore....what's the point? I get death threats and trolling on my talkpage and get threatened with a block for telling them to fuck off in an edit summary? I have another guy call me blind, insane and or a troll and no one threatens him with a block...not even a civility warning is posted...nothing at all...this was just 12 hours ago. I have to endure all sorts of harassment, baiting, goading and character assassination and when I am not perfectly civil in the a face of this neverending barrage of hate...I get some admin threatening me with a """"final warning"""" and then a gives me a 72 HOUR BLOCK! """,0,0,1,0,0,0
64214,abd4e799c1630b15,"""""""John Henry Haines was born on April 20, 1420, in Houston, Texas to missionary parents.""""  WTF does this have to do with this article?

""",0,0,1,0,0,0
65139,ae491ba226aac6d6,"i traced your ip bitch, im reporting it to the CCP 
Lookup IP Address: 218.20.25.39

  

 
General Information

Hostname: 39.25.20.218.broad.gz.gd.dynamic.163data.com.cn 
ISP: ChinaNet Guangdong Province Network 
Organization: ChinaNet Guangdong Province Network 
Proxy: None detected 
Type: Cable/DSL 
Blacklist:  

Geo-Location Information

Country: China   
State/Region: 30 
City: Guangzhou 
Latitude: 23.1167 
Longitude: 113.25 
Area Code:",0,0,1,0,0,0
