,comment_text,threat,blackmail
39374,"You leave my friend's editing alone! 

Hello, Davejohnsan! I'm new to Wikipedia. And I got a special message from you! You leave my friend's editing alone, if you revert any of the edits which my friend posted on any TV shows and seasons articles, I'll be coming after you, I will block you, and I will sue you in court, and kill you! Pure and simple! And you know what, you are not the boss of any the articles, and you piss me off, and I HOPE YOU DIE!!!",1,0
39379,"Im busy right now, but I will have your IP banned in few minutes. ^^
Jeez what moron.",0,1
39380,"Christmas Is Where Family's Come Together To Celebrate Jesus's Birthday..!
Y Is Called Christmas I Have No Idea But If You Ask What I Have To Say About It Is Fuck Him..!
There's Also Jews..!
We Need Holidays To Wear Everyone Can Celebrate Them Together..!
If You Wanna Celebrate Jesus Then Go To Fuckin Church..!
This Is How I Fell..!
Donate You're Feelings To www.donate_feelings.com",0,1
39459,You are a pathetic failure.,0,1
39470,DAMN ur an ugly fukka,0,1
39472,hes a black pieceofshit,0,1
39476,"Wow I just your pic 

WTF!!

Plastic Surgery isn't that expensive BITCH!",0,1
39494,"Please Read tHis 

S. dean Jameson called me a pig!  what do I do?",0,1
39498,"""

 You are a SLAVE! 

Don't you realize that you are a slave? You spend days, weeks, months writing little articles for nothing. A gold star?! Big deal. Your frinds Ruhrfisch, Coeil, and others encourage you because you'll spend your weeks writing for WP  for nothing! I suspect you've had some tragedy in your life like a divorce or job loss and are looking to """"validate"""" your worthiness by hanging out here and going for gold stars. How many do you need? Isn't this showing off? Isn't this looking for some kind of approval? """"Look everybody! I'm important! I got a gold star!"""" Do you need to send every article through DYK, GA, Peer Review, and FA? Why? Send them straight to FA and have done with it. Don't you realize you're taking up every one's time with all of these unnecessary submissions? You're being exploited. Get a life.   """,0,1
39502,"SL93, I'm ready for an argument right fucking now. I'm sick and fucking tired of your goofball power play. Get a fucking life. You're a joke, a clown and no one will ever take your sorry ass seriously. Get fucked and leave me the fuck alone. I didn't start shit with you, so I don't get what your problem is. Twat.",0,1
39543,"Oi Dickhead 
Get the fuck off my talk page, or else I'm gonna come down and fuck u so hard that you'll never come on my talk page again. OK? Go fuck off you dick-sagging wanking rapist. 124.122.68.57",0,1
39547,"From LCIstudent 

No one likes you Mr. Friday, I can add whatever information i want to my school's website, you bg NOOOOOOOOOOOOOOOOB. Thank you.",0,1
39548,Fuck you bitch! I will go to your house and kill you with my gun!,1,1
39552,"Snotty 17 year olds projecting their daddy and mammy issues on the world. Oh the joy of wiki and cyberspace. Hey kid, guess what you banned me asshole, now go back to your pathetic little life, and wank another for Shakira, that's what you do best isn't it? Wanker.",0,1
39560,"Fuck off!!! 

Go and buy some Andrex and wipe your rats ass/face (delete as appropriate). Fuck you!!!",0,1
39574,stupid prostitutes THANK YOU!,0,1
39576,"Because this guy has no life and likes to f*ck around with people's hard work. Just retaliate against him, so he stops messing up people's legitimate pages.",0,1
39582,"Stop Fucking men up the arse James! 
Stop doing it in public, it's creeping me out. Thankyou asshole.",0,1
39590,"the book is dumb 

this book is so dumb how could any one ever rad it .blahhhhhhh",0,1
39610,'''JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK YOU FAGGOT GAY ASS CHINK NIGGER COCKSUCKING PIECE OF SHIT JForget FUCK,0,1
39611,"Shut up asshole 

Shut up you asshole I fucking hate you, Kids CBC IS stupid so why keep reverting my edits?",0,1
39627,"Um no their just idiots like you, AND STOP DELETING YOUR DELETION PROPOSAL BEFORE I REPORT THIS!

Elven6",0,1
39650,"Oh wait, you're an American asshole... Let me explain how the law here work, if telenet uncovers who I am, they are violating several laws. I have free speech here.",0,1
39669,"My personal opinion 

Is that you're a fucking wanker and I hope you die a painful death. 91.108.192.125",1,1
39687,"No, it's not just you. Just more evidence that the current model for Wikipedia (i.e., let any fucking idiot in to do anything they please, then wait for someone to clean up after) won't last much longer. ==",0,1
39701,"asshole? 

congratualtions on being such a huge fucking asshole!!! Bongwarrior

65.75.190.17",0,1
39710,Get a clue son. Your parents should be restricting your internet usage. Friggin kids. ~Brian,0,1
39712,"Trouted 

You have been trouted for: Fuck you , motherfucking son of a bitch",0,1
39749,"UsBeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
 Do I know you? 

BeCauSe You aRe a FGGT!
== Do I kn",0,1
39796,See the edit reason you muppet.,0,1
39840,"""

 Hi ) 

  Fuck You Trophy You happen to suck.   """,0,1
39860,"Why haven't you yet! 

I don't give a fuck!

Fuck you and all your wiki shitty stars, you fuckhead!",0,1
39864,"They are called Syed 
You dirty chump.Muhajirs are the worst race on planet. If the world-peace will be achieved if muhajirs and jews leave this planet. Muhajirs should be hunted down like animals. They should DIE!!!!  DIE MUHAJIRS DIE MUHAJIRS!",1,1
39866,"look here 

your a fuckin cunt you czeckoslovacian ass clown",0,1
39870,"Whatever 

Get a fucking life, you sad fool. You just sit here and edit Wikipedia every hour, do you even eat? Get some fresh air, instead your ass is glued to the screen. Have a good day, sir.",0,1
39886,"please, please killyourself you whiney little jewish faggot",0,1
39925,"Dumb ass nigga.  No one cares when your birthday is.  Jag quimby sounds gay as shit.  Your name sounds like you're the son of that mayor from the simpsons.

Jaq quimby....nigga you need to change your name to jaq off.",0,1
39974,"Opps, I accidently edited your page, faggot! *Drop dead*",0,1
39988,Fuck you London. You piece of shit,0,1
40002,Ima rude son of a bitch too because I have a period remember im gay...,0,1
40003,"FUCK YOU  

 
Fuck You keep blocking me I'll keep coming back, Are so fucking bored that you have to sit around and fuck with me on the goddamn computer. Get a life ASSHOLE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0,1
40024,SCUCCI THE GINNIE THATS FCUKING WHO>>>HE RUNS WIKIPEDIA U BETTA LET HIM BACK ON OR HES GUNNA TAKE A LOUIEVILLE TO YA SKULL>>>BIG GIAMBI BAT WITH HIM AND HIS BOYS PATRISIO AND FRANKIE,0,1
40041,"HEY STAY THE FUCK OUT OF MY BUISNESS YOU JEWISH REDNECK MEXICAN FUCKER
I KILL YOU FUCKER STAY THE FUCK OUT OF MY BUISNESS",1,1
40050,"Editing Wikipedia 

Fuck You, you anal rapist",0,1
40067,"get lost 

Stop following me Canadian loser. Go patrol something useful",0,1
40104,"THEN GET RID OF THE STUPID FUCKING BRICK COUNT WHO THE FUCK CARES HOW MANY GODDAMN BRICKS YOUR FUCKING HS HAS? JESUS H. CHRIST, THIS IS THE STUPIDEST FUCKING WRITE-UP I'VE EVER SEEN FOR A HS.",0,1
40108,Haha. Go ahead. Stupid American.,0,1
40112,"stop editing this, you dumbass. why do you have to be such a bitch? the ghosts of bill maas' past will haunt you forever!!! MWAHAHHAHAA",0,1
40116,"WARNINGS

This is your last warning. If you continue to make personal attacks, you will be blocked for disruption.  Ed (Edgar181) 

LAST warning??? Try ONLY warning, fool.

And if you jerks were'nt so snobbish and lazy, this crap wouldn't be HAPPENING now would it?

75.8.35.177",0,1
40138,"""

 Ban my fat ass, bitch! 

I need an internet break.  Need to clean my room and lose weight.  Please ban me for 3 months or 60 pounds.  Or more.  Thanks.  

If you're hesitant, conside me to have posted tubgirl on your talk page.

As the guy in Flight of the Intruder said...""""I'd do it for you, Sandy"""", when requesting to be killed.""",0,1
40155,Up yours mother fucker.,0,1
40162,"""

 Thanks! 

  Award of Gayness You suck! ;D   """,0,1
40201,I'll correct what I said: The manis a former Coke user and in an incident challenged some kids to a fight. This is fact that are in his article. IMO that makes him a scumbag.,0,1
40214,@Tomica I say; fucking bring it on; you've over stepped the 3RR which you was recently blocked from so if I get blocked; I sure as hell will take yo' ass down as well 81.148.240.181,0,1
40219,heres ya stupid signature as well you faggots129.234.155.162,0,1
40223,STUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALISTSTUPID SPANISH CENTRALIST,0,1
40230,Why is the main picture of his ass you fucking cock loving geeky homosexuals,0,1
40270,"""

 J.Delanoy, you are a fuck'ing moronic asshole (Come """"pwn"""" my sockfarm if you are able to, I've saved up a few socks and vandalised some obscure pages!) 

F U C K

Y O U

218.186.8.234  """,0,1
40319,"stop your bullshit you don't have the ps3 nor mgs4 nor nor killzone 2 a full hd 1080p, i have both you don't, i don't have to waste my time with xbox  fankids like you.",0,1
40352,F__K YOU WHINY-SISSY COWARD HACKER TROLLS AND FREAKS.  YOU ARE ALL FAT PASTY PALE COUCH TOADS WHO NEVER GET LAID AND WHACK OFF ONLINE.  GO F__K YOURSELVES,0,1
40356,so wut u got asaulted boo hoo u probly luved gettin fuked in the ass by 2 hott gays,0,1
40358,"HOW DARE YOU ABUSE AUTOGRAPH'S PAGE, YOU FAG!!!! DIEEEEE!!! YO GANGSTA RAP'S GOT NOTHING ON ROCK!!! FAIL.",0,1
40440,You're a little queer Jew bag.,0,1
40509,"24/7 

Stop making idiotic changes to the article. It's bad enough having that fool Hholt1 doing it.",0,1
40568,"Some jackass vandalized the article again, can someone fix it?",0,1
40580,"Calling a dickhead a dickhead is not a personal attack. Sorry, but if he fucks with my edits again, I will call him a dickhead again!",0,1
40585,"hello 

you are a nigger",0,1
40595,Fuck you are an asshole! Why be such a prick an stuff the wrong date in there just to piss me off!,0,1
